Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2018 PANINI PRIZM EMERGENT #14 MICHAEL PORTER JR. GREEN PRIZM,54772937,PSA,10,-,2018,PANINI PRIZM EMERGENT,14,MICHAEL PORTER JR.,GREEN PRIZM,-,-,29,10.01,-18.990000000000002,-,03/25/2024,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI DONRUSS #221 CHRISTIAN BRAUN,74840634,PSA,9,-,2022,PANINI DONRUSS,221,CHRISTIAN BRAUN,-,-,-,11,39.11,28.11,-,06/03/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI DONRUSS OPTIC #238 CHRISTIAN BRAUN,74699790,PSA,10,-,2022,PANINI DONRUSS OPTIC,238,CHRISTIAN BRAUN,-,-,-,13,18.42,5.420000000000002,-,07/06/2023,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN ROOKIE JERSEY INK #RJIDCB CHRISTIAN BRAUN ELECTRIC ETCH GREEN 4/25,79258671,PSA,9,-,2022,PANINI OBSIDIAN ROOKIE JERSEY INK,RJIDCB,CHRISTIAN BRAUN,ELECTRIC ETCH GREEN,4/25,-,20,-,-,-,03/04/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2020 PANINI DONRUSS OPTIC #96 NIKOLA JOKIC PURPLE,79238410,PSA,9,-,2020,PANINI DONRUSS OPTIC,96,NIKOLA JOKIC,PURPLE,-,-,29,98.02,69.02,-,12/01/2023,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI SELECT ROOKIE SIGNATURES #5 JAMAL MURRAY ORANGE PRIZM 46/60,88996104,PSA,9,-,2016,PANINI SELECT ROOKIE SIGNATURES,5,JAMAL MURRAY,ORANGE PRIZM,46/60,-,275,255.91,-19.090000000000003,-,06/04/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #67 JAMAL MURRAY ELECTRIC ETCH NEON FLOOD,80490907,PSA,10,-,2022,PANINI OBSIDIAN,67,JAMAL MURRAY,ELECTRIC ETCH NEON FLOOD,-,-,40,-,-,-,01/04/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON MONOPOLY MAN BLACK AND WHITE,91900989,PSA,7,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,MONOPOLY MAN BLACK AND WHITE,-,-,9,5.72,-3.2800000000000002,-,07/05/2024,-,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM #17 NIKOLA JOKIC BLUE YELLOW GREEN CHOICE,92844006,PSA,10,-,2023,PANINI PRIZM,17,NIKOLA JOKIC,BLUE YELLOW GREEN CHOICE,-,-,40,35.35,-4.649999999999999,-,07/15/2024,eBay,price includes shipping,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON PINK 55/149,91604270,PSA,9,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,PINK,55/149,-,10,10.86,0.8599999999999994,-,07/07/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI THREADS #168 JAMAL MURRAY,50611592,PSA,10,-,2016,PANINI THREADS,168,JAMAL MURRAY,-,-,-,10,25.16,15.16,-,06/15/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI SELECT #4 JAMAL MURRAY TRI-COLOR PRIZM,57552875,PSA,9,-,2016,PANINI SELECT,4,JAMAL MURRAY,TRI-COLOR PRIZM,-,-,29,15.58,-13.42,-,02/10/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI SELECT #4 JAMAL MURRAY,77586267,PSA,10,-,2016,PANINI SELECT,4,JAMAL MURRAY,-,-,-,39,30.06,-8.940000000000001,-,02/13/2024,eBay,price includes shipping,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2015 PANINI PRIZM USA BASKETBALL #19 LeBRON JAMES,48138297,PSA,9,-,2015,PANINI PRIZM USA BASKETBALL,19,LeBRON JAMES,-,-,-,5,46.17,41.17,-,07/01/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI SELECT #275 JAMAL MURRAY,52346586,PSA,10,-,2016,PANINI SELECT,275,JAMAL MURRAY,-,-,-,40,25.35,-14.649999999999999,-,07/18/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI MOSAIC #221 PEYTON WATSON MOSAIC,83771469,PSA,9,-,2022,PANINI MOSAIC,221,PEYTON WATSON,MOSAIC,-,-,7,7.06,0.05999999999999961,-,07/26/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI CHRONICLES #78 ZION WILLIAMSON,61179735,PSA,10,-,2019,PANINI CHRONICLES,78,ZION WILLIAMSON,-,-,-,5,13.58,8.58,-,06/25/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI CHRONICLES #165 JA MORANT,50558153,PSA,9,-,2019,PANINI CHRONICLES,165,JA MORANT,-,-,-,5,8.74,3.74,-,06/25/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI CHRONICLES #159 LUKA DONCIC,51134820,PSA,9,-,2019,PANINI CHRONICLES,159,LUKA DONCIC,-,-,-,5,9.73,4.73,-,06/25/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI CHRONICLES #51 STEPHEN CURRY,61214128,PSA,10,-,2019,PANINI CHRONICLES,51,STEPHEN CURRY,-,-,-,5,20.87,15.870000000000001,-,06/25/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI CHRONICLES #125 GIANNIS ANTETOKOUNMPO,61213965,PSA,9,-,2019,PANINI CHRONICLES,125,GIANNIS ANTETOKOUNMPO,-,-,-,5,8.99,3.99,-,06/25/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2021 PANINI PRIZM #32 NIKOLA JOKIC RED/WHITE/BLUE PRIZM,89684944,PSA,10,-,2021,PANINI PRIZM,32,NIKOLA JOKIC,RED/WHITE/BLUE PRIZM,-,-,37,36.85,-0.14999999999999858,-,07/30/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI SELECT #39 JAMAL MURRAY GOLD 9/10,86394985,PSA,9,-,2022,PANINI SELECT,39,JAMAL MURRAY,GOLD,9/10,-,60,-,-,-,08/01/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI PRIZM #175 JAMAL MURRAY,53208379,PSA,10,-,2016,PANINI PRIZM,175,JAMAL MURRAY,-,-,-,60,54.23,-5.770000000000003,-,08/05/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1990 FLEER #26 MICHAEL JORDAN,57037542,PSA,8,-,1990,FLEER,26,MICHAEL JORDAN,-,-,-,10,24.96,14.96,-,08/10/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1986 FLEER #1 KAREEM ABDUL-JABBAR,02491367,PSA,5,-,1986,FLEER,1,KAREEM ABDUL-JABBAR,-,-,-,40,46.65,6.649999999999999,-,08/10/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2020 PANINI SELECT #58 NIKOLA JOKIC RED/WHITE/ORANGE FLASH,94078502,PSA,10,-,2020,PANINI SELECT,58,NIKOLA JOKIC,RED/WHITE/ORANGE FLASH ,-,-,58,46.49,-11.509999999999998,-,-,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #48 JAIME JAQUEZ JR. SILVER,92398928,PSA,10,-,2023,PANINI PRIZM MONOPOLY,48,JAIME JAQUEZ JR.,SILVER,-,-,40,20.38,-19.62,-,08/10/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 BOWMAN UNIVERSITY CHROME #34 CAITLIN CLARK,92400081,PSA,9,-,2023,BOWMAN UNIVERSITY CHROME,34,CAITLIN CLARK,-,-,-,28,20.52,-7.48,-,08/12/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI PRIZM #32 MICHAEL PORTER JR.,48958298,PSA,9,-,2018,PANINI PRIZM,32,MICHAEL PORTER JR.,-,-,-,6,10.37,4.369999999999999,-,08/17/2024,-,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI DONRUSS OPTIC #182 MICHAEL PORTER JR. SHOCK,50756452,PSA,9,-,2018,PANINI DONRUSS OPTIC,182,MICHAEL PORTER JR.,SHOCK,-,-,6,7.69,1.6900000000000004,-,08/17/2024,-,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI HOOPS #254 MICHAEL PORTER JR. TEAL EXPLOSION,52163948,PSA,9,-,2018,PANINI HOOPS,254,MICHAEL PORTER JR.,TEAL EXPLOSION,-,-,6,98.1,92.1,-,08/17/2024,-,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI PRIZM #88 MICHAEL PORTER JR. SILVER PRIZM,49845000,PSA,9,-,2019,PANINI PRIZM,88,MICHAEL PORTER JR.,SILVER PRIZM,-,-,6,8.13,2.130000000000001,-,08/17/2024,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI DONRUSS OPTIC ROOKIE KINGS #7 JAMAL MURRAY HOLO,93802046,PSA,10,-,2016,PANINI DONRUSS OPTIC ROOKIE KINGS,7,JAMAL MURRAY,HOLO,-,-,40,30.36,-9.64,-,08/23/2024,eBay,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI HOOPS PREMIUM STOCK #137 AARON GORDON SILVER LASER,63710836,PSA,10,-,2019,PANINI HOOPS PREMIUM STOCK,137,AARON GORDON,SILVER LASER,-,-,10,6.13,-3.87,-,08/27/2024,eBay,includes shipping,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI SELECT #169 NIKOLA JOKIC ORANGE FLASH,94012583,PSA,10,-,2023,PANINI SELECT,169,NIKOLA JOKIC,ORANGE FLASH,-,-,28,30.18,2.1799999999999997,-,08/29/2024,eBay,including shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #46 MICHAEL PORTER JR. ELECTRIC ETCH CONTRA FOTL 1/3,93434752,PSA,8,-,2022,PANINI OBSIDIAN,46,MICHAEL PORTER JR.,ELECTRIC ETCH CONTRA FOTL,1/3,-,120,-,-,-,08/30/2024,eBay,sent to PSA ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI COURT KINGS AURORA #16 NIKOLA JOKIC,93434754,PSA,8,-,2023,PANINI COURT KINGS AURORA,16,NIKOLA JOKIC,-,-,-,75,50.99,-24.009999999999998,-,08/30/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI REVOLUTION AUTOGRAPHS #AJMY JAMAL MURRAY,93434755,PSA,8,-,2022,PANINI REVOLUTION AUTOGRAPHS,AJMY,JAMAL MURRAY,-,-,-,70,221.25,151.25,-,08/30/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #233 PEYTON WATSON JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW 1/10,93434756,PSA,10,-,2022,PANINI OBSIDIAN,233,PEYTON WATSON,JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW,1/10,-,100,-,-,-,08/30/2024,eBay,graded at PSA ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #233 PEYTON WATSON JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW FLOOD 4/10,93434757,PSA,9,-,2022,PANINI OBSIDIAN,233,PEYTON WATSON,JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW FLOOD,4/10,-,100,-,-,-,08/30/2024,eBay,graded at PSA,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #227 CHRISTIAN BRAUN JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW 4/10,93434753,PSA,9,-,2022,PANINI OBSIDIAN,227,CHRISTIAN BRAUN,JERSEY AUTOGRAPH-ELECTRIC ETCH YELLOW,4/10,-,100,-,-,-,08/30/2024,eBay,graded by PSA ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI DONRUSS OPTIC RISING SUNS #11 VICTOR WEMBANYAMA,94507907,PSA,10,-,2023,PANINI DONRUSS OPTIC RISING SUNS,11,VICTOR WEMBANYAMA,-,-,-,70,70.15,0.15000000000000568,-,08/31/2024,Other auction / marketplace,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI OBSIDIAN #165 CHRISTIAN BRAUN ELECTRIC ETCH RED 1/5,83723896,PSA,10,-,2022,PANINI OBSIDIAN,165,CHRISTIAN BRAUN,ELECTRIC ETCH RED,1/5,-,100,-,-,-,09/07/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION PRIZM AUTOGRAPHS #CC CAITLIN CLARK WHITE JERSEY-GOLD VINYL,96184053,PSA,8,10,2024,PANINI CAITLIN CLARK COLLECTION PRIZM AUTOGRAPHS,CC,CAITLIN CLARK,WHITE JERSEY-GOLD VINYL,-,-,132,1042.52,910.52,-,07/20/2024,Other,"pulled from a box
most of the cost is in grading",Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY MILLIONAIRE WHITE #W13 JAMAL MURRAY,96420861,PSA,10,-,2023,PANINI PRIZM MONOPOLY MILLIONAIRE WHITE,W13,JAMAL MURRAY,-,-,-,250,-,-,-,09/12/2024,eBay,50 for grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI NATIONAL CONVENTION #47 JAMAL MURRAY 413/1499,80048365,PSA,9,-,2016,PANINI NATIONAL CONVENTION,47,JAMAL MURRAY,-,413/1499,-,18,-,-,-,10/05/2024,Card show,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI CONTENDERS SUPERNATURAL #16 NIKOLA JOKIC CRACKED ICE 3/25,96060734,PSA,10,-,2023,PANINI CONTENDERS SUPERNATURAL,16,NIKOLA JOKIC,CRACKED ICE,3/25,-,145,152.21,7.210000000000008,-,10/05/2024,Card show,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM #37 JAMAL MURRAY SNAKESKIN PRIZM,92562583,PSA,10,-,2023,PANINI PRIZM,37,JAMAL MURRAY,SNAKESKIN PRIZM,-,-,45,55.82,10.82,-,10/05/2024,Card show,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 BOWMAN UNIVERSITY CHROME SAPPHIRE #90 PAIGE BUECKERS,96645192,PSA,9,-,2023,BOWMAN UNIVERSITY CHROME SAPPHIRE,90,PAIGE BUECKERS,-,-,-,30,31.73,1.7300000000000004,-,10/05/2024,Card show,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI CONTENDERS DRAFT PICKS #103 JAMAL MURRAY VARIATION-AUTOGRAPH-DRAFT TICKET 45/99,94203222,PSA,9,-,2016,PANINI CONTENDERS DRAFT PICKS,103,JAMAL MURRAY,VARIATION-AUTOGRAPH-DRAFT TICKET,45/99,-,89,81.71,-7.290000000000006,-,10/07/2024,eBay,price includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI CONTENDERS DRAFT PICKS #103 JAMAL MURRAY AUTOGRAPH,96238600,PSA,9,9,2016,PANINI CONTENDERS DRAFT PICKS,103,JAMAL MURRAY,AUTOGRAPH,-,-,85,40.49,-44.51,-,10/13/2024,eBay,$31 for the card,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2015 PANINI PRIZM #335 NIKOLA JOKIC,65518908,PSA,9,-,2015,PANINI PRIZM,335,NIKOLA JOKIC,-,-,-,160,357.29,197.29000000000002,-,10/21/2024,eBay,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI PRIZM FRESHMAN PHENOMS #15 SHAI GILGEOUS-ALEXANDER,97488424,PSA,9,-,2018,PANINI PRIZM FRESHMAN PHENOMS,15,SHAI GILGEOUS-ALEXANDER,-,-,-,17,20.12,3.120000000000001,-,10/31/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI SELECT #169 PAOLO BANCHERO,97488422,PSA,7,-,2022,PANINI SELECT,169,PAOLO BANCHERO,-,-,-,17,7.49,-9.51,-,10/31/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI CONTENDERS ROOKIE STALLION #21 VICTOR WEMBANYAMA,97488420,PSA,9,-,2023,PANINI CONTENDERS ROOKIE STALLION,21,VICTOR WEMBANYAMA,-,-,-,17,22.22,5.219999999999999,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1992 SKYBOX USA BASKETBALL #44 MICHAEL JORDAN,97488423,PSA,7,-,1992,SKYBOX USA BASKETBALL,44,MICHAEL JORDAN,-,-,-,16,9.14,-6.859999999999999,-,10/31/2024,Social media sale,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1994 CLASSIC #69 SHAQUILLE O'NEAL,97488411,PSA,6,-,1994,CLASSIC,69,SHAQUILLE O'NEAL,-,-,-,16,6.28,-9.719999999999999,-,10/31/2024,Social media sale,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1993 TOPPS GOLD #64 MICHAEL JORDAN 50 POINT CLUB,97488410,PSA,6,-,1993,TOPPS GOLD,64,MICHAEL JORDAN,50 POINT CLUB,-,-,16,8.14,-7.859999999999999,-,10/31/2024,Social media sale,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 BOWMAN UNIVERSITY BEST BOWMAN U BUCKETS DIE CUTS #BB19 ALIYAH BOSTON,97488412,PSA,10,-,2022,BOWMAN UNIVERSITY BEST BOWMAN U BUCKETS DIE CUTS,BB19,ALIYAH BOSTON,-,-,-,18,-,-,-,10/31/2024,eBay,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION RAZZLE DAZZLE #RD1 CAITLIN CLARK,97488415,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION RAZZLE DAZZLE,RD1,CAITLIN CLARK,-,-,-,18,25.49,7.489999999999998,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION FEARLESS #F2 CAITLIN CLARK,97488416,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION FEARLESS,F2,CAITLIN CLARK,-,-,-,18,29.95,11.95,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS1 CAITLIN CLARK,97488417,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS1,CAITLIN CLARK,-,-,-,18,25.42,7.420000000000002,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS2 CAITLIN CLARK,97488419,PSA,10,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS2,CAITLIN CLARK,-,-,-,18,70.96,52.959999999999994,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION DONRUSS #11 CAITLIN CLARK PANINI,97488413,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION DONRUSS,11,CAITLIN CLARK,PANINI,-,-,18,18.75,0.75,-,10/31/2024,Break,personally graded,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI OBSIDIAN #176 AARON GORDON ELECTRIC ETCH MOLTEN MOJO 4/10,97403314,PSA,9,-,2023,PANINI OBSIDIAN,176,AARON GORDON,ELECTRIC ETCH MOLTEN MOJO,4/10,-,33,52.88,19.880000000000003,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI SELECT #166 JAMAL MURRAY PURPLE DIE-CUT 16/99,97403317,PSA,9,-,2023,PANINI SELECT,166,JAMAL MURRAY,PURPLE DIE-CUT,16/99,-,21,16.94,-4.059999999999999,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #47 NIKOLA JOKIC BLUE FAST BREAK 72/85,97403316,PSA,8,-,2023,PANINI MOSAIC,47,NIKOLA JOKIC,BLUE FAST BREAK,72/85,-,18,-,-,-,10/31/2024,Break,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI REVOLUTION #148 CHET HOLMGREN GROOVE,97403276,PSA,9,-,2022,PANINI REVOLUTION,148,CHET HOLMGREN,GROOVE,-,-,20,22.18,2.1799999999999997,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2020 PANINI SELECT #174 TYRESE MAXEY RED/WHITE/ORANGE FLASH,97403294,PSA,10,-,2020,PANINI SELECT,174,TYRESE MAXEY,RED/WHITE/ORANGE FLASH ,-,-,20,69.81,49.81,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1997 ULTRA JAM CITY #14 DENNIS RODMAN,97403304,PSA,9,-,1997,ULTRA JAM CITY,14,DENNIS RODMAN,-,-,-,18,50.87,32.87,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY ALL-STAR #PS1 NIKOLA JOKIC DICE,97403272,PSA,10,-,2023,PANINI PRIZM MONOPOLY ALL-STAR,PS1,NIKOLA JOKIC,DICE,-,-,18,44.41,26.409999999999997,-,10/31/2024,eBay,price includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #3 JAMAL MURRAY DEAL,97403313,PSA,9,-,2023,PANINI PRIZM MONOPOLY,3,JAMAL MURRAY,DEAL,-,-,20,11.85,-8.15,-,10/31/2024,eBay,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI PRIZM MONOPOLY #2 AARON GORDON BLACK GOLD 1/5,97403271,PSA,10,-,2023,PANINI PRIZM MONOPOLY,2,AARON GORDON,BLACK GOLD,1/5,-,85,958.49,873.49,-,10/31/2024,-,price includes grading ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
